address,area,price
岭兜二里-前埔北区,思明,3500
大同路-大同路,思明,550
官邸大厦-火车站,思明,2300
中山海景广场-中山路,思明,1300
领秀中山-中山路,思明,2600
大同路382号小区-中山路,思明,1200
信和银湖天峰-湖滨北路,思明,7500
御景豪庭-建业路,思明,13000
东卉花园-白鹭洲路,思明,7000
卧龙晓城-莲前西路,思明,2800
故宫裕景-厦禾路,思明,8500
名汇广场-中山路,思明,2000
一代风华-仙岳路,思明,1699
嘉盛豪园-瑞景,思明,1500
金鸡亭花园小区-金鸡亭,思明,3000
四川大厦-嘉禾路,思明,3099
金鸡亭花园小区-金鸡亭,思明,2600
湖北大厦-松柏,思明,2600
湖北大厦-松柏,思明,2800
音乐家生活广场-松柏,思明,2100
金鸡亭花园-金鸡亭,思明,2700
裕发广场-富山,思明,2800
香榭园-莲前西路,思明,1700
思北路口银行中心-厦禾路,思明,2000
明发园-软件园,思明,4800
上东美地-软件园,思明,5500
东方时代-禾祥西路,思明,4600
宏益大厦-松柏,思明,4500
华天花园-嘉禾路,思明,6900
都市新巢-莲前,思明,3000
瑞丽花园-瑞景,思明,8500
瑞景公园-瑞景,思明,3400
岭兜佳园-软件园,思明,3200
岭兜小区-软件园,思明,3200
华瑞花园二期-瑞景,思明,11000
嘉盛豪园-瑞景,思明,1200
前埔北区一里-前埔北区,思明,4300
华瑞花园-莲前东路,思明,5000
云景花园-瑞景,思明,6500
福满山庄-瑞景,思明,5300
瑞景公园-瑞景,思明,8500
罗宾森广场二期-厦禾路,思明,5900
筼筜书院-文园路,思明,6500
坑内路-文园路,思明,2800
坑内路-文园路,思明,3000
坑内小区-文园路,思明,6000
君悦山-莲前西路,思明,1400
营平社区-白城,思明,1100
紫荆园-金榜路,思明,2500
益泰大厦-火车站,思明,3999
嘉盛豪园-莲前东路,思明,1300
嘉盛豪园-瑞景,思明,4900
嘉盛豪园-瑞景,思明,6000
前埔北区一里-莲前东路,思明,3500
前埔北区二里-前埔北区,思明,3800
嘉盛豪园G组团-瑞景,思明,4000
嘉盛豪园-瑞景,思明,4000
前埔北区二里-前埔北区,思明,3900
侨福城二期-莲前东路,思明,4800
岭兜小区-软件园,思明,3600
香山海景苑-软件园,思明,2900
能群大厦-富山,思明,5600
裕发广场-富山,思明,2700
福满山庄-瑞景,思明,5500
华林花园三期-前埔南区,思明,5200
福满山庄-瑞景,思明,5500
华瑞花园-莲前东路,思明,5000
建群雅苑-莲前东路,思明,4200
台亚大厦-松柏,思明,4800
宝龙中心一期-嘉禾路,思明,4200
台亚大厦-莲花一村,思明,4800
锦绣广场-松柏,思明,5800
锦绣广场-松柏,思明,5800
山木清华-莲前,思明,2800
罗宾森璀璨新城二期-火车站,思明,3500
罗宾森璀璨新城1期-火车站,思明,6800
罗宾森璀璨新城1期-火车站,思明,7500
侨福城-瑞景,思明,4200
嘉盛豪园-瑞景,思明,6800
文兴社小区-莲前东路,思明,3000
嘉盛豪园-瑞景,思明,1400
福满山庄-瑞景,思明,5500
金象嘉园-禾祥东路,思明,6000
龙景台-禾祥东路,思明,6000
东方巴黎-金榜路,思明,4600
瑞丽花园-瑞景,思明,5700
希望大厦-禾祥西路,思明,3800
防疫站宿舍-湖滨南路,思明,4200
湖滨名宫-白鹭洲路,思明,5000
建东大厦-白鹭洲路,思明,8500
岭兜一里-软件园,思明,2800
岭兜佳园-软件园,思明,2900
大洲国际龙郡-软件园,思明,1800
岭兜二里-软件园,思明,3600
何厝小区-会展路,思明,4000
何厝小区-前埔南区,思明,3000
古歌蔡塘de家-软件园,思明,1400
古歌蔡塘de家-观音山,思明,1600
古歌蔡塘de家-软件园,思明,1650
古歌蔡塘de家-软件园,思明,1650
墩仔家园-莲前,思明,2800
禹洲花园-莲前西路,思明,2800
禹洲花园-莲前西路,思明,2300
明发商城-金鸡亭,思明,3200
新景花园-软件园,思明,2700
碧海晴空-软件园,思明,1900
岭兜佳园-软件园,思明,3700
岭兜二里-软件园,思明,3800
岭兜佳园-软件园,思明,2500
岭兜二里-前埔北区,思明,3600
新景花园-软件园,思明,3500
新景花园-软件园,思明,3500
岭兜佳园小区-前埔南区,思明,2900
前埔南小区店上西里-前埔南区,思明,4800
建达花园-文灶,思明,3300
侨福城二期-莲前东路,思明,4800
至尊门第-会展路,思明,8000
北洪山柄-瑞景,思明,4000
百源双玺-厦禾路,思明,3100
九龙城-厦禾路,思明,2300
文兴东二里-前埔南区,思明,3000
福满山庄-瑞景,思明,4200
都市新巢小区-瑞景,思明,2300
文兴社小区-莲前东路,思明,3000
岭兜二里-软件园,思明,3200
