address,area,price
聚祥花园（仙岳路民立二小旁）-仙岳路,思明,4800
仙源里-仙岳路,思明,3200
仙阁里花园-仙岳路,思明,3200
摩登时代-仙岳路,思明,3400
侨建花园-松柏,思明,3200
屿后北里-松柏,思明,3600
屿后南里-松柏,思明,3200
四川大厦-松柏,思明,3300
长青北里-松柏,思明,3000
宝龙中心-松柏,思明,2500
嘉滨里-松柏,思明,3999
江头长青K小区-松柏,思明,4300
宏益大厦-松柏,思明,5500
合展天玺-莲花五村,思明,1300
禹洲花园-莲花五村,思明,3800
岭兜二里-前埔北区,思明,4300
卧龙晓城-莲前西路,思明,3900
新景中心二期-湖明路,思明,3800
金鸡亭花园小区-金鸡亭,思明,3500
侨旺大厦-嘉禾路,思明,6300
莲坂小区-长青路,思明,4500
宝龙中心-嘉禾路,思明,5600
江头长青K小区-松柏,思明,4200
江头长青K小区-松柏,思明,3800
宝龙中心-嘉禾路,思明,2300
摩登时代-仙岳路,思明,3688
一代风华-松柏,思明,2300
禹洲世贸国际-火车站,思明,3688
摩登时代大厦-嘉禾路,思明,3099
京华大厦-厦禾路,思明,2788
假日香港广场-思明北路,思明,5799
莲花大厦-吕厝西,思明,3599
新莲花新龙山花园-莲花五村,思明,1300
英皇湖畔花苑-松柏,思明,3800
金鸡亭花园小区-金鸡亭,思明,3600
厦门北站高铁阳光花园-松柏,思明,4800
宝龙中心-嘉禾路,思明,6000
莲坂西小区-富山,思明,4800
宝龙中心-松柏,思明,4300
宝龙中心-松柏,思明,5000
岭兜佳园-前埔南区,思明,3000
岭兜小区南区-前埔南区,思明,1600
明发城-前埔北区,思明,1600
岭兜二里-前埔北区,思明,3900
宝达大厦-嘉禾路,思明,4600
华天花园-嘉禾路,思明,4200
华天花园-嘉禾路,思明,3700
宏益大厦-松柏,思明,6200
宝华花园-湖滨北路,思明,6500
嘉莲大厦-莲花一村,思明,7000
江头长青K小区-松柏,思明,3000
卧龙晓城-莲前西路,思明,5500
洪山柄北区-莲前东路,思明,1900
嘉盛豪园-瑞景,思明,1600
岳阳小区-岳阳小区,思明,2400
金鸡亭花园小区-金鸡亭,思明,3500
禾丰新景-软件园,思明,4500
永升花园-松柏,思明,6800
莲坂小区-槟榔东里,思明,3000
联谊广场-富山,思明,3500
莲板东小区嘉华里-松柏,思明,3500
长青北里-松柏,思明,3300
卧龙晓城-莲前西路,思明,6000
岭兜二里-前埔北区,思明,4300
岭兜小区南区-前埔南区,思明,3380
岭兜佳园-前埔南区,思明,3100
香山海景苑-前埔南区,思明,12000
华尔顿1275-槟榔东里,思明,11500
卧龙晓城-莲前西路,思明,5600
怡富花园-莲前西路,思明,3850
嘉盛豪园-瑞景,思明,1200
嘉盛豪园-瑞景,思明,1600
阳光花园-松柏,思明,4200
卧龙晓城-莲前西路,思明,5000
旧莲岳里-松柏,思明,2800
云亭花园-金鸡亭,思明,3200
天成花园-嘉禾路,思明,2400
岭兜二里-前埔北区,思明,3600
岭兜佳园-前埔北区,思明,4000
岭兜二里-前埔北区,思明,4500
明丰财富中心-前埔南区,思明,4300
禾丰新景-软件园,思明,5000
信和上筑-嘉禾路,思明,5000
半山御景-白城,思明,6800
宝龙中心-松柏,思明,7200
长城小区-槟榔东里,思明,8500
莲坂小区-槟榔东里,思明,4000
宝龙中心-嘉禾路,思明,4900
源昌君悦山-莲前西路,思明,12000
卧龙晓城-莲前西路,思明,5500
明发商城-莲前西路,思明,3800
金鸡亭-莲前西路,思明,4300
龙山山庄-莲前西路,思明,4000
金鸡亭花园小区-莲前西路,思明,3400
金沙花园-莲前西路,思明,1200
金鸡亭-莲前西路,思明,3200
东浦路-东浦路,思明,4200
卧龙晓城-莲前西路,思明,3000
玉荷里-莲花二村,思明,3900
金鸡亭花园-金鸡亭,思明,3700
云亭花园-莲前,思明,2900
龙山居-莲前西路,思明,3100
龙山居-莲前西路,思明,2700
龙山山庄-莲前西路,思明,4000
龙山山庄-莲前西路,思明,3700
卧龙晓城-莲前西路,思明,4500
国贸大厦-湖滨南路,思明,7500
山木清华-莲前,思明,3200
金龙苑-莲前西路,思明,3300
卧龙晓城-莲前西路,思明,1200
龙山山庄-莲前西路,思明,3200
山木清华-莲前,思明,4300
龙山山庄-莲前西路,思明,4500
卧龙晓城-莲前西路,思明,4500
卧龙晓城-莲前西路,思明,650
怡富花园-莲前西路,思明,4800
嘉盛豪园-瑞景,思明,1300
洪山柄北区-莲前东路,思明,3700
嘉盛豪园（莲前）-瑞景,思明,1300
洪山柄北区-莲前东路,思明,2900
嘉盛豪园-瑞景,思明,1200
嘉盛豪园-瑞景,思明,5400
松柏大厦-松柏,思明,4900
江头长青K小区-松柏,思明,5000
厦门北站高铁阳光花园-松柏,思明,4500
宝达大厦-嘉禾路,思明,4700
长青路-松柏,思明,5200
太平洋广场-松柏,思明,6000
嘉盛豪园（莲前）-瑞景,思明,1850
洪山柄北区-莲前东路,思明,3200
嘉盛豪园-瑞景,思明,1600
嘉盛豪园-瑞景,思明,1200
官邸大厦-火车站,思明,2300
嘉盛豪园-瑞景,思明,1300
嘉盛豪园-瑞景,思明,1280
华天花园-嘉禾路,思明,7200
莲坂小区-槟榔东里,思明,3600
宝龙中心-嘉禾路,思明,4500
莲坂西小区-富山,思明,3800
长青K小区-松柏,思明,4500
中烟工业大厦-松柏,思明,14200
嘉盛豪园（莲前）-瑞景,思明,1100
嘉盛豪园-莲前东路,思明,1280
宝华花园-湖滨北路,思明,3400
嘉益大厦-嘉禾路,思明,4000
江头长青K小区-松柏,思明,3200
宝达大厦-嘉禾路,思明,5200
长青北里-松柏,思明,3200
屿后南里423-449号小区-松柏,思明,3800
山木清华-莲前,思明,5300
宝华花园-湖滨北路,思明,3400
永升华庭-松柏,思明,6500
华天花园-嘉禾路,思明,3800
宝达大厦-嘉禾路,思明,4000
华天花园-嘉禾路,思明,3400
泉州街-中山路,思明,3000
石壁街36号小区-镇海路,思明,4500
金榜铁路家园-厦禾路,思明,3300
世茂湖滨首府-软件园,思明,2800
岭兜佳园-软件园,思明,2800
嘉华里-长青路,思明,1200
金榜大厦-火车站,思明,1000
卧龙晓城-莲前西路,思明,3300
岭兜小区中区-前埔南区,思明,4600
岭兜佳园-前埔南区,思明,6000
岭兜佳园-前埔北区,思明,2900
香山海景苑-前埔南区,思明,11500
海艺大厦-软件园,思明,2250
红星瑞景小区-瑞景,思明,1650
富宇大厦-火车站,思明,6000
卧龙晓城-思明西路,思明,4200
金鸡亭花园小区-金鸡亭,思明,3400
山木清华-莲前西路,思明,3500
水务宿舍-莲前西路,思明,3200
金鸡亭西里-莲前西路,思明,3600
卧龙晓城-莲前西路,思明,3200
嘉华里-长青路,思明,1200
四川大厦-松柏,思明,3688
一代风华-松柏,思明,2200
摩登时代-仙岳路,思明,3200
岭兜佳园-前埔南区,思明,5800
禾丰新景-软件园,思明,4800
香山海景苑-前埔南区,思明,2200
香山海景苑-前埔南区,思明,11000
莲花五村龙华路龙翔里-莲花五村,思明,1400
英皇湖畔花苑-松柏,思明,4500
卧龙晓城-莲前西路,思明,4500
永升花园-松柏,思明,8000
宝龙中心-嘉禾路,思明,5200
嘉华大厦-长青路,思明,4000
宝龙中心-松柏,思明,5700
其他-莲前西路,思明,550
香山碧海晴空-软件园,思明,10800
禾丰新景-软件园,思明,3500
莲坂西小区-富山,思明,3900
华天花园-嘉禾路,思明,7200
莲坂小区-长青路,思明,3600
宝龙中心-松柏,思明,5000
宝龙中心-松柏,思明,5500
西林路-莲前西路,思明,3900
莲坂西小区-松柏,思明,3300
卧龙晓城-莲前西路,思明,4000
山水庭院-东浦路,思明,1250
利海苑-湖滨北路,思明,2900
金榜大厦-厦禾路,思明,1000
厦门九龙城-厦禾路,思明,850
